#,Song Title,Saga,Video Title,Artist,Views,Likes,Comments,Duration,Uploaded Date,link
5,Warrior of the Mind,Troy,Warrior Of The Mind | EPIC: The Musical Animatic,MarComie,262887,25957,514,3:48,2025-12-13,https://www.youtube.com/watch?v=kmvvuNixXDU
6,Polyphemus,Troy,Polyphemus - EPIC: The Musical Animatic,mircsy,3957656,60644,1556,3:37,2023-07-12,https://www.youtube.com/watch?v=kKgwQy30R-c
6,Polyphemus,Cyclops,Polyphemus - EPIC: the musical Animatic,Ximena Natzel,3877084,74497,1385,3:37,2023-02-17,https://www.youtube.com/watch?v=b3Bx1W-Z0Pg
6,Polyphemus,Cyclops,Polyphemus [ Epic the Musical ] Animatic,Imbecileo,220735,7836,274,3:43,2023-02-25,https://www.youtube.com/watch?v=l5Oi_CNeFkQ
6,Polyphemus,Cyclops,Polyphemus - EPIC: The Musical (Animatic),HerbataLover,8080,644,83,3:54,2024-11-23,https://www.youtube.com/watch?v=3iVMoyIhSVE
6,Polyphemus,Cyclops,Polyphemus [Epic the Musical],HAH Studios,18548,736,72,3:38,2024-08-24,https://www.youtube.com/watch?v=P4Q93RAdYQo
6,Polyphemus,Cyclops,POLYPHEMUS | Epic: The Musical Animation,Arven,5902,492,30,3:41,2023-10-18,https://www.youtube.com/watch?v=VZCiDaiaEPc
6,Polyphemus,Cyclops,Polyphemus | EPIC: The Musical | Updated Audio,WolfyTheWitch,74341,4841,118,3:37,2025-04-12,https://www.youtube.com/watch?v=rjau40wqLBs
6,Polyphemus,Cyclops,POLYPHEMUS | EPIC: The musical | ANIMATIC,Avalanchee,37739,2408,97,3:47,2024-06-13,https://www.youtube.com/watch?v=RFEKDCtAiNY
6,Polyphemus,Cyclops,Polyphemus [ EPIC: The Musical ] Animatic/Storyboard,Hana Al-Aride,5621,291,24,3:37,2023-06-04,https://www.youtube.com/watch?v=0NBncLdyuWQ
6,Polyphemus,Cyclops,Polyphemus :Epic The Musical Animatic:,Cexulzzb,946,68,4,3:39,2024-11-03,https://www.youtube.com/watch?v=ZskBqjurDRI
6,Polyphemus,Cyclops,[EPIC: The Musical] Polyphemus (Fan Animatic),Sirell,225508,11310,721,3:41,2025-08-18,https://www.youtube.com/watch?v=Nw7H13aW3uo
6,Polyphemus,Cyclops,Epic Polyphemus animatic,Ash_drawz,19,3,0,3:35,2026-01-22,https://www.youtube.com/watch?v=bP74mNo4Ap4
6/7,Polyphemus/Survive,Cyclops,EPIC: The Musical IN LEGO (Polyphemus + Survive) @JayHerrans,BucketsAnimations,91385,12820,571,6:47,2024-05-24,https://www.youtube.com/watch?v=nJQRrqUVWYA
6/7,Polyphemus/Survive,Cyclops,Polyphemus / Survive | EPIC The Musical Animatic,The Traveling Pen,8516,416,22,6:51,2025-11-11,https://www.youtube.com/watch?v=usEcHebA8ks
7,Survive,Cyclops,Survive- Epic: The Musical,Cexulzzb,13306,430,14,3:19,2024-11-23,https://www.youtube.com/watch?v=QCHoT1A-ALI
7,Survive,Cyclops,Survive - EPIC: The Musical Animatic (CW: GORE AND FLASH),mircsy,7054162,107612,2894,3:16,2023-03-12,https://www.youtube.com/watch?v=6GpuV9iyQYU
7,Survive,Cyclops,[EPIC: The Musical] Survive (Fan Animatic),Sirell,222030,9598,565,3:22,2025-10-01,https://www.youtube.com/watch?v=zG6--6DE_LE
